Numéro notice,Titre,Mentions de responsabilité,Titre propre de la collection,Éditeur,Date,DateDébut,DateFin,Date d'autorisation,Édition,Format,ISBN/ISSN,Notes,Langue,Lieu,Cycle,Niveau,Discipline
00000001,La Route Champlain = The Champlain route,,,Le Droit,1953,1953-01-01,1953-12-31,,,"38 cm: 152 p., ill.",,Textes juxtalinéaires en français et anglais. -- Comprend un index,Anglais|Français,"Ottawa, ON",,,
00000002,Atlas général Holt,"DE VARENNES, Jean|LAVALLÉE, Jean",,"Holt, Rinehart and Winston Limited",[1970?],1970-01-01,1970-12-31,,,"32 cm: v, 158 p., cartes en coul.",,Comprend un index,Français,"Montréal, QC|Toronto, ON",,,
00000003,Géographie universelle : pour garçons et filles,"WERNER, E.-J.|DE WITT, C.",Un grand livre d'or,Deux coqs d'or,[1952?],1952-01-01,1952-12-31,,,"31 cm: 93 p., ill. en coul.",,,Français,"Paris, FR",,,
00000004,Géographie,"BROUILLETTE, Benoit|DAGENAIS, Pierre|FACUHER, Jean-Charles",Pierre Dagenais,Centre de psychologie et de pédagogie,[1941?],1941-01-01,1941-12-31,1960-02-24,,"25 cm: 166 p., ill., graph. et cartes en coul",,,Français,"Montréal, QC",Primaire|Intermédiaire,6e et 7e année,
00000005,Les Continents du sud,"CLEE, David|JONES, David|MARLEAU, C.",,Éditions H.R.W. ltée.,[1977?],1977-01-01,1977-12-31,,,"25 cm: iv, 252 p., ill., graph. et cartes en coul.",ISBN 0-03-929340-8,Trad. de : Introducing the Southern Continents. -- Comprend un index,Français,"Montréal, QC",,,
00000006,Mon milieu et ma région,"CYR, Hervé","Mon univers ; 1 ; ""Je fais ma géographie""",Éditions des frères Maristes,[1976?],1976-01-01,1976-12-31,,Nouv. éd. ; éd. ontarienne de la collection,"26 cm: 55 p., ill., graph. et cartes en coul.",ISBN 0-88519-132-3,Titre de la collection de l'édition ontarienne : Je fais ma géographie. -- Comprend un lexique,Français,"Laval, QC",Primaire,4e année,
00000007,Ma région et ma province,"CYR, Hervé","Mon univers ; 2 ; ""Je fais ma géographie""",Éditions des frères Maristes,[1976?],1976-01-01,1976-12-31,,Nouv. éd.,"26 cm: 111 p., ill., graph. et cartes en coul.",,Titre de la collection de l'édition ontarienne : Je fais ma géographie. -- Comprend un lexique et une partition. -- ISBN 0-88519-133-1,Français,"Laval, QC",Primaire,5e année,
00000008,Ma province et mon pays,"CYR, Hervé","Mon univers ; 3 ; ""Je fais ma géographie""",Éditions des frères Maristes,[1976?],1976-01-01,1976-12-31,,Nouv. éd.,"26 cm: 125 p., ill., graph. et cartes en coul.",ISBN 0-88519-134-X,Titre de la collection de l'édition ontarienne : Je fais ma géographie. -- Comprend un lexique,Français,"Laval, QC",Primaire,6e année,
00000009,L'ABC de la géographie : guide du maître,"DAGENAIS, Pierre",L'ABC de la géographie,Beauchemin,1947,1947-01-01,1947-12-31,1947-05-07,,23 cm: 79 p.,,,Français,"Montréal, QC",Primaire,1ère année,
00000010,Géographie générale : l'Afrique,"DUPÂQUIER, J.|REBOTIER, M.|GUIOT, P.",Nouvelle collection Maurice Le Lannou,Bordas,[1969?],1969-01-01,1969-12-31,,,"23 cm: 256 p., ill., graph. et cartes en coul.",,Également sur la couv. : classe de 6e,Français,France,Système français,6e année (France),
00000011,Géographie,"GAY, F.-J.|JOURNEAUX, A.",André Journaux,Hatier,[1962?],1962-01-01,1962-12-31,,,"22 cm: 95 p., ill. et cartes (certaines en coul.)",,Comprend des résumés,Français,"Paris, FR",Système français,8e année (France),
00000012,Géographie : 5e année : ma province,,,Éditions des Frères Maristes,1954,1954-01-01,1954-12-31,1954-02-11,2e éd.,"25 cm: 118 p., ill. et graph. en coul.",,"Sur la p. de t. : Cours de géographie des frères Maristes, enseignement primaire et secondaire",Français,"Saint-Vincent-de-Paul, QC",Primaire,5e année,
00000013,Géographie : 6e et 7e années,,,Éditions des Frères Maristes,1962,1962-01-01,1962-12-31,1962-03-15,2e édition,"25 cm: 160 p., ill., graph. et cartes (certaines en coul.)",,"Sur la p. de t. : Cours de géographie des frères Maristes, enseignement primaire et secondaire",Français,"Saint-Vincent-de-Paul, QC",Primaire|Intermédiaire,6e et 7e année,
00000014,Géographie : 6e et 7e années,,,Éditions des Frères Maristes,1963,1963-01-01,1963-12-31,,3e éd.,"25 cm: 160 p., ill., graph. et cartes (certaines en coul.)",,"Sur la p. de t. : Cours de géographie des frères Maristes, enseignement primaire et secondaire",Français,"Saint-Vincent-de-Paul, QC",Primaire|Intermédiaire,6e et 7e année,
00000015,Cahier de géographie : 6e et 7e années,,,Éditions des Frères Maristes,[1962?]-[1963?],1962-01-01,1963-12-31,,,"25 cm: 144 p., graph. et cartes",,,Français,"Saint-Vincent-de-Paul, QC",Primaire|Intermédiaire,6e et 7e année,
00000016,Géographie : l'Europe et l'Asie,"JOSSE, R.|JOURNAUX, A.",André Journaux,Hatier,[1960?],1960-01-01,1960-12-31,,,"22 cm: 308 p., ill., graph. et cartes en coul.",,Comprend des résumés,Français,"Paris, FR",Secondaire,10e année,
00000017,Nouveau cours de géographie pour l'enseignement du second degré : classe de quatrième,"LENTACKER, F.|OZOUF, M.|MOREAU, J.-P.",,Fernand Nathan,1957,1957-01-01,1957-12-31,,,"20 cm: 319 p., ill. et cartes pliés",,Comprend des résumés,Français,"Paris, FR",Système français,4e année (France),
00000018,La Chasse aux phoques,"MERCER, M. C.|BLACKWOOD, David|WONG, Lin",,Pêches et Environnement Canada,[1977?],1977-01-01,1977-12-31,,,"25 cm: 26 p., ill. et carte en coul.",ISBN 0-662-005279,Comprend un glossaire. -- Cat. no.: FS 99-16/1977 F,Français,"Ottawa, ON",,,
00000019,Nouveau cours de géographie pour l'enseignement du second degré : classe de première des lycées et collèges,"MOREAU, J.-P.|PASQUIER, Y.",,Fernand Nathan,1957,1957-01-01,1957-12-31,,,"20 cm: 511 p., ill. et cartes pliées (certaines en coul.)",,,Français,"Paris, FR",Système français,1ère année (France),
00000020,Nouveau cours de géographie pour l'enseignement du second degré : classe de troisième des lycées et collèges,"MOREAU, J.-P.|LENTACKER, F.",,Fernand Nathan,1957,1957-01-01,1957-12-31,,,"20 cm: 319 p., ill. et cartes pliées (certaines en coul.)",,Comprend des résumés,Français,"Paris, FR",Système français,3e année (France),
00000021,Géographie,"OZOUF, M.|PINCHEMEL, Ph.",,Fernand Nathan,[1961?],1961-01-01,1961-12-31,,,"20 cm: 319 p., ill., graph. et cartes pliées (certaines en coul.)",,Comprend un lexique,Français,"Paris, FR",Système français,2e année (France),
00000022,Géographie,"PASDELOUP, B.|GAY, F.",André Journaux,Hatier,[1962?],1962-01-01,1962-12-31,,,"22 cm: 224 p., ill. et cartes en coul.",,Comprend des résumés,Français,"Paris, FR",Système français,9e année (France),
00000023,Nouveau cours de géographie pour l'enseignement du second degré : classe de cinquième,"PINCHEMEL, Ph.|OZOUF, M.",,Fernand Nathan,1956,1956-01-01,1956-12-31,,,"22 cm: 303 p., ill. et carte pliée en coul.",,Comprend des résumés. -- Comprend un vocabulaire à la fin de l'ouvrage,Français,"Paris, FR",Système français,5e année (France),
00000024,Mon milieu et ma région,"RACINE, Jean-Bernard|POULIN, André",Je fais ma géographie ; 1,Éditions des frères Maristes,[1970?],1970-01-01,1970-12-31,,2e éd.,"26 cm: 55 p., ill., graph. et cartes en coul.",,Comprend des résumés. -- Comprend un lexique à la fin de l'ouvrage,Français,"Saint-Vincent-de-Paul, QC",Primaire,4e année,
00000025,Ma région et ma province,"GEOFFROY, Jacques|SAUVAGEAU, Roger|RACINE, Jean-Bernard|POULIN, André",Je fais ma géographie ; 2,Éditions des frères Maristes,[1970?],1970-01-01,1970-12-31,,,"26 cm: 110 p., ill., graph. et cartes en coul.",,Comprend des résumés. -- Comprend un lexique à la fin de l'ouvrage,Français,"Saint-Vincent-de-Paul, QC",Primaire,5e année,
00000026,Le Canada et ses voisins,"SEIVERIGHT, Dorothy|LLOYD, Trevor",,Ginn and company,[1967?],1967-01-01,1967-12-31,,Éd. rev.,"26 cm: vi, 250 p., ill. et cartes (certaines en coul.)",,Comprend un index,Français,"Toronto, ON",,,
